Date,Name,Year,Letterboxd URI,Rating
2024-04-26,Schindler's List,1993,https://boxd.it/2aq2,4.5
2024-04-26,A Star Is Born,2018,https://boxd.it/aXgc,3.5
2024-04-26,Big Fish,2003,https://boxd.it/2a3M,4
2024-04-26,Manchester by the Sea,2016,https://boxd.it/b2L0,4
2024-04-26,Hotel Rwanda,2004,https://boxd.it/2aSA,4
2024-04-26,Room,2015,https://boxd.it/7T0y,4.5
2024-04-26,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,4
2024-04-26,Silver Linings Playbook,2012,https://boxd.it/2TTo,4
2024-04-26,Brothers,2009,https://boxd.it/20WW,4
2024-04-26,The Road,2009,https://boxd.it/1CWI,4
2024-04-26,The Florida Project,2017,https://boxd.it/dMG0,4
2024-04-26,Nocturnal Animals,2016,https://boxd.it/bkFu,4
2024-04-26,Children of Men,2006,https://boxd.it/1Y2i,4
2024-04-26,Dear Zachary: A Letter to a Son About His Father,2008,https://boxd.it/1LW8,4.5
2024-04-26,Never Let Me Go,2010,https://boxd.it/Xw0,3.5
2024-04-26,Beautiful Boy,2018,https://boxd.it/g76Q,4.5
2024-04-26,Atonement,2007,https://boxd.it/24ui,4
2024-04-26,Incendies,2010,https://boxd.it/Msm,4.5
2024-04-26,Close,2022,https://boxd.it/y4qa,4
2024-04-26,A Small Light,2023,https://boxd.it/GilY,4
2024-04-26,The Iron Claw,2023,https://boxd.it/w5Pm,4
2024-04-26,Half Nelson,2006,https://boxd.it/20Ng,4
2024-04-26,Pieces of a Woman,2020,https://boxd.it/nOrQ,3.5
2024-04-26,Her,2013,https://boxd.it/4O24,4
2024-04-26,Eighth Grade,2018,https://boxd.it/hDMG,4
2024-04-26,Whiplash,2014,https://boxd.it/7bQA,4.5
2024-04-26,Parasite,2019,https://boxd.it/hTha,4.5
2024-04-26,The Prestige,2006,https://boxd.it/293w,4.5
2024-04-26,The Departed,2006,https://boxd.it/28MA,4.5
2024-04-26,Fight Club,1999,https://boxd.it/2a9q,4.5
2024-04-26,The Banshees of Inisherin,2022,https://boxd.it/p7XS,4
2024-04-26,C'mon C'mon,2021,https://boxd.it/nrI0,4
2024-04-26,TÁR,2022,https://boxd.it/uNIA,4.5
2024-04-26,Private Life,2018,https://boxd.it/gn9Q,3.5
2024-04-26,Promising Young Woman,2020,https://boxd.it/loRE,3.5
2024-04-26,Dark Waters,2019,https://boxd.it/kaYu,4
2024-04-26,Lady Bird,2017,https://boxd.it/dGNE,4
2024-04-26,The Shape of Water,2017,https://boxd.it/dZ5m,4
